Puzzle,Solution,BFS Expanded,A* H1 Expanded,A* H2 Expanded
ABCDEFG#IJKHMNOL,2,2,2,2
ABCDEFGHIJ#LMNKO,2,6,4,4
ABCDEFGHIJKLM#NO,2,5,3,3
ABCDEFG#IJKHMNOL,2,2,2,2
ABCDEFGHIJ#KMNOL,2,9,4,4
ABCDEFGHIJKLM#NO,2,5,3,3
ABCDEFGHIJ#LMNKO,2,6,4,4
ABCDEFGHIJKLM#NO,2,5,3,3
ABCDEFG#IJKHMNOL,2,2,2,2
ABCDEFGHIJ#KMNOL,2,9,4,4
AB#CEFGDIJKHMNOL,4,28,3,3
AB#CEFGDIJKHMNOL,4,28,3,3
AB#DEFCGIJKHMNOL,4,21,5,5
ABCDEFGHINJLM#KO,4,21,7,7
ABCDEFGHIJLOMNK#,4,14,6,5
ABCDEFGHIJOKMNL#,4,21,6,5
ABCDE#GHIFKLMJNO,4,23,7,7
AB#DEFCGIJKHMNOL,4,21,5,5
ABCDEFGH#JKLIMNO,4,22,4,4
ABCDEFGH#IKLMJNO,4,27,6,6
#AGCEBFDIJKHMNOL,8,378,8,8
AFBCE#HDIJGKMNOL,8,438,11,12
EABCIFGD#JKHMNOL,8,302,6,14
ABCDEFGH#MKLJINO,8,398,19,23
ABCDEFL#IJHGMNKO,8,383,29,13
ABCDE#GHMFJKNIOL,8,456,16,19
ABCDFGKHEI#LMJNO,8,465,13,21
ABCDEFGHMIJLNKO#,8,444,14,13
EACDB#GHIFKLMJNO,8,575,16,27
AFBCIEGD#JKHMNOL,8,320,8,10
ABDHEFGCIJ#LMNKO,8,470,23,20
FBDHAEC#IJGKMNOL,12,5877,57,62
ABCDEGOHIJFLM#KN,14,28332,425,125
EC#DBAJHIGFLMNKO,14,30629,140,85
BGDHACF#ENJLIMKO,16,87852,61,103
BCGDAFJH#EKLINMO,16,131446,283,264
BCDHAFGOEJLKIMN#,16,64173,73,33
AFBGEJKC#NHDIMOL,16,101777,147,41
EB#CFJGDAIKHMNOL,16,129975,388,383
FCGDBAKH#EJLIMNO,16,136667,210,67
BGFCAJLDENKHI#MO,20,1738381,841,483
AFCGIEBD#NKHJMOL,22,5165974,9952,2881
